uid	old_dims	old_gp	truth_dims	truth_gp
3	(34055, 73345)	2,50	10783x23225	0,25
4	(60896, 21826)	1,33	26412x9467	0,25
5	(77709, 13911)	1,08	37394x6694	0,25
6	(77709, 13911)	1,08	37394x6694	0,25
7	(47164, 16944)	0,80	26396x9483	0,25
272	(104496, 22239)	2,32	34297x7299	0,25
274	(96276, 18287)	1,76	45274x5528	0,25
276	(98937, 24419)	2,42	31832x7857	0,25
278	(100792, 18266)	1,84	37149x6732	0,25
279	(53890, 14155)	0,76	31689x7891	0,25
280	(43716, 9984)	0,44	33098x7559	0,25
281	(76349, 65964)	5,04	17013x14699	0,25
283	(75708, 21738)	1,65	29514x8474	0,25
285	(61962, 61962)	3,84	15827x15827	0,25
286	(41670, 30326)	1,26	18550x13500	0,25
288	(62555, 18173)	1,14	38010x6585	0,25
289	(104502, 17928)	1,87	38175x6549	0,25
290	(63061, 28416)	1,79	31654x7908	0,25
293	(106928, 59445)	6,36	21224x11799	0,25
294	(55018, 59244)	3,26	15248x16419	0,25
295	(51577, 57340)	2,96	15000x16676	0,25
299	(34317, 22711)	0,78	19453x12874	0,25
300	(151423, 27402)	4,15	37202x6732	0,25
302	(105607, 41122)	4,34	25358x9874	0,25
304	(71003, 78286)	5,56	16669x15002	0,25
306	(57404, 51666)	2,97	12913x19370	0,25
322	(173751, 29264)	5,08	38555x6494	0,25
346	(209701, 26476)	5,55	44528x5622	0,25
353	(43232, 12812)	0,55	29055x8611	0,25
354	(37890, 23950)	0,91	19902x12580	0,25
355	(101773, 51723)	5,26	22195x11280	0,25
362	(67218, 53961)	3,63	17655x14173	0,25
363	(101684, 44131)	4,49	24003x10417	0,25
512	(46769, 31179)	1,46	19370x12913	0,25
518	(49133, 35849)	1,76	18519x13512	0,25
519	(40003, 11704)	0,47	29255x8559	0,25
523	(15154, 16517)	0,25	50450x54988	2,77
524	(27402, 9130)	0,25	29891x9960	0,30
525	(19157, 13062)	0,25	33310x22712	0,76
526	(18638, 13429)	0,25	34951x25183	0,88
527	(23230, 10778)	0,25	47279x21935	1,04
528	(19684, 12720)	0,25	62016x40075	2,49
529	(21782, 11486)	0,25	88116x46466	4,09
530	(20104, 12449)	0,25	63766x39486	2,52
531	(31064, 8049)	0,25	71840x18615	1,34
532	(32727, 7642)	0,25	155778x36374	5,67
533	(20000, 12503)	0,25	89065x55679	4,96
534	(19538, 12810)	0,25	60179x39456	2,37
535	(22623, 11063)	0,25	42667x20865	0,89
536	(24187, 10350)	0,25	76549x32756	2,51
537	(21654, 10283)	0,22	78599x37327	2,93
540	(30620, 8173)	0,25	142479x38031	5,42
541	(22335, 11203)	0,25	73231x32153	2,35
542	(23863, 10478)	0,25	82577x41421	3,42
543	(23523, 10642)	0,25	105027x47262	4,96
545	(28335, 8828)	0,25	109116x33996	3,71
546	(36584, 6839)	0,25	114430x21390	2,45
547	(22736, 11015)	0,25	77755x37671	2,93
548	(28234, 8870)	0,25	90488x28428	2,57
549	(24989, 10007)	0,25	28727x11504	0,33
550	(21025, 11906)	0,25	44239x28923	1,28
551	(14161, 17668)	0,25	45726x57050	2,61
552	(31303, 7987)	0,25	240515x61365	14,76
553	(39945, 6262)	0,25	127998x20067	2,57
554	(36307, 6886)	0,25	164679x31232	5,14
556	(22506, 11114)	0,25	78205x38620	3,02
557	(15827, 15827)	0,25	83310x34937	2,91
559	(26358, 9490)	0,25	55484x19977	1,11
560	(16544, 15130)	0,25	48574x44423	2,16
562	(35399, 7063)	0,25	118846x23713	2,82
564	(24982, 10020)	0,25	67685x27148	1,84
565	(25512, 9811)	0,25	54330x20894	1,14
566	(12460, 20079)	0,25	31751x51164	1,62
567	(15827, 15827)	0,25	34349x34349	1,18
568	(21712, 11516)	0,25	99412x52727	5,24
571	(22262, 11232)	0,25	91849x23973	2,20
572	(33629, 7444)	0,25	95176x21069	2,01
573	(21828, 11464)	0,25	34224x17974	0,62
578	(21272, 11754)	0,25	62920x30663	1,93
579	(18113, 13809)	0,25	106698x81348	8,68
615	(47779, 18867)	0,90	25177x9942	0,25
620	(69128, 30494)	2,11	23822x10508	0,25
622	(156321, 14084)	2,20	52710x4749	0,25
626	(57723, 13473)	0,78	32750x7644	0,25
657	(41804, 16547)	0,69	25144x9953	0,25
658	(42476, 18960)	0,81	19376x12917	0,25
659	(42476, 18960)	0,81	19376x12917	0,25
660	(42476, 18960)	0,81	19376x12917	0,25
661	(42476, 18960)	0,81	19376x12917	0,25
662	(42476, 18960)	0,81	19376x12917	0,25
663	(42476, 18960)	0,81	19376x12917	0,25
664	(42476, 18960)	0,81	19376x12917	0,25
665	(42476, 18960)	0,81	19376x12917	0,25
666	(42476, 18960)	0,81	19376x12917	0,25
667	(43008, 43008)	1,85	15827x15827	0,25
668	(42600, 71000)	3,02	12255x20425	0,25
670	(41035, 51134)	2,10	14173x17661	0,25
680	(84724, 33764)	2,86	25061x9987	0,25
779	(61744, 30595)	1,89	22474x11136	0,25
780	(66286, 15878)	1,05	32325x7743	0,25
781	(61744, 21059)	1,30	27091x9240	0,25
783	(61744, 17027)	1,05	30127x8308	0,25
791	(35869, 30307)	1,09	17211x14542	0,25
799	(61943, 20229)	1,25	27684x9041	0,25
805	(111870, 15769)	1,76	42140x5940	0,25
819	(59871, 17627)	1,06	29159x8585	0,25
823	(102902, 29051)	2,99	29775x8406	0,25
825	(105947, 25046)	2,65	32538x7692	0,25
828	(53923, 14480)	0,78	30533x8199	0,25
831	(50838, 24943)	1,27	22587x11082	0,25
834	(82677, 14117)	1,17	38290x6538	0,25
839	(96856, 46741)	4,53	22775x10991	0,25
840	(105101, 31665)	3,33	28824x8684	0,25
847	(84213, 29180)	2,46	26877x9313	0,25
848	(55752, 29180)	1,63	21869x11446	0,25
849	(69425, 17631)	1,22	31395x7973	0,25
852	(46059, 26241)	1,21	20961x11942	0,25
855	(87821, 23546)	2,07	30554x8192	0,25
868	(41415, 17942)	0,74	24036x10413	0,25
